title,release_date,budget,revenue,roi,year,lista_generos
Iron Man 2,2010-04-28,200000000,623933331,3.119666655,2010,"['Adventure', 'Action', 'Science Fiction']"
Snow White and the Huntsman,2012-05-30,170000000,396600000,2.3329411764705883,2012,"['Adventure', 'Fantasy', 'Drama']"
Maleficent,2014-05-28,180000000,758539785,4.214109916666667,2014,"['Fantasy', 'Adventure', 'Action', 'Family', 'Romance']"
Dawn of the Planet of the Apes,2014-06-26,170000000,710644566,4.180262152941176,2014,"['Science Fiction', 'Action', 'Drama', 'Thriller']"
The Lovers,2015-02-13,27000000,0,0.0,2015,"['Action', 'Adventure', 'Science Fiction', 'Romance']"
47 Ronin,2013-12-06,175000000,150962475,0.8626427142857143,2013,"['Drama', 'Action', 'Adventure', 'Fantasy']"
Captain America: The Winter Soldier,2014-03-20,170000000,714766572,4.204509247058824,2014,"['Action', 'Adventure', 'Science Fiction']"
Shrek Forever After,2010-05-16,165000000,752600867,4.561217375757575,2010,"['Comedy', 'Adventure', 'Fantasy', 'Animation', 'Family']"
Tomorrowland,2015-05-19,190000000,209154322,1.1008122210526317,2015,"['Adventure', 'Family', 'Mystery', 'Science Fiction']"
Big Hero 6,2014-10-24,165000000,652105443,3.9521542,2014,"['Adventure', 'Family', 'Animation', 'Action', 'Comedy']"
Wreck-It Ralph,2012-11-01,165000000,471222889,2.855896296969697,2012,"['Family', 'Animation', 'Comedy', 'Adventure']"
The Polar Express,2004-11-10,165000000,305875730,1.853792303030303,2004,"['Adventure', 'Animation', 'Family', 'Fantasy']"
Independence Day: Resurgence,2016-06-22,165000000,389681935,2.3617086969696968,2016,"['Action', 'Adventure', 'Science Fiction']"
How to Train Your Dragon,2010-03-05,165000000,494878759,2.999265206060606,2010,"['Fantasy', 'Adventure', 'Animation', 'Family']"
Terminator 3: Rise of the Machines,2003-07-02,200000000,435000000,2.175,2003,"['Action', 'Thriller', 'Science Fiction']"
Guardians of the Galaxy,2014-07-30,170000000,773328629,4.548991935294118,2014,"['Action', 'Science Fiction', 'Adventure']"
Interstellar,2014-11-05,165000000,675120017,4.0916364666666665,2014,"['Adventure', 'Drama', 'Science Fiction']"
Inception,2010-07-14,160000000,825532764,5.159579775,2010,"['Action', 'Thriller', 'Science Fiction', 'Mystery', 'Adventure']"
Shin Godzilla,2016-07-29,15000000,77000000,5.133333333333334,2016,"['Action', 'Adventure', 'Drama', 'Horror', 'Science Fiction']"
The Hobbit: An Unexpected Journey,2012-11-26,250000000,1021103568,4.084414272,2012,"['Adventure', 'Fantasy', 'Action']"
The Fast and the Furious,2001-06-22,38000000,207283925,5.454840131578948,2001,"['Action', 'Crime', 'Thriller']"
The Curious Case of Benjamin Button,2008-11-24,150000000,333932083,2.2262138866666668,2008,"['Fantasy', 'Drama', 'Thriller', 'Mystery', 'Romance']"
X-Men: First Class,2011-05-24,160000000,353624124,2.210150775,2011,"['Action', 'Science Fiction', 'Adventure']"
The Hunger Games: Mockingjay - Part 2,2015-11-18,160000000,653428261,4.08392663125,2015,"['Action', 'Adventure', 'Science Fiction']"
The Sorcerer's Apprentice,2010-07-13,150000000,215283742,1.4352249466666667,2010,"['Fantasy', 'Adventure', 'Action', 'Comedy', 'Drama']"
Poseidon,2006-05-12,160000000,181674817,1.13546760625,2006,"['Adventure', 'Action', 'Drama', 'Thriller']"
Alice Through the Looking Glass,2016-05-25,170000000,299370084,1.7610004941176471,2016,['Fantasy']
Shrek the Third,2007-05-17,160000000,798958165,4.99348853125,2007,"['Fantasy', 'Adventure', 'Animation', 'Comedy', 'Family']"
Warcraft,2016-05-25,160000000,433677183,2.71048239375,2016,"['Action', 'Adventure', 'Fantasy']"
Terminator Genisys,2015-06-23,155000000,440603537,2.842603464516129,2015,"['Science Fiction', 'Action', 'Thriller', 'Adventure']"
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010-08-13,155000000,415686217,2.6818465612903224,2010,"['Adventure', 'Family', 'Fantasy']"
Pearl Harbor,2001-05-21,140000000,449220945,3.208721035714286,2001,"['History', 'Romance', 'War']"
Transformers,2007-06-27,150000000,709709780,4.7313985333333335,2007,"['Adventure', 'Science Fiction', 'Action']"
Alexander,2004-11-21,155000000,167298192,1.0793431741935484,2004,"['War', 'History', 'Action', 'Adventure', 'Drama', 'Romance']"
Harry Potter and the Order of the Phoenix,2007-06-28,150000000,938212738,6.254751586666667,2007,"['Adventure', 'Fantasy', 'Family', 'Mystery']"
Harry Potter and the Goblet of Fire,2005-11-05,150000000,895921036,5.9728069066666665,2005,"['Adventure', 'Fantasy', 'Family']"
Hancock,2008-07-01,150000000,624029371,4.160195806666667,2008,"['Fantasy', 'Action']"
I Am Legend,2007-12-14,150000000,585349010,3.902326733333333,2007,"['Drama', 'Horror', 'Action', 'Thriller', 'Science Fiction']"
Charlie and the Chocolate Factory,2005-07-13,150000000,474968763,3.16645842,2005,"['Adventure', 'Comedy', 'Family', 'Fantasy']"
Ratatouille,2007-06-22,150000000,623722818,4.15815212,2007,"['Animation', 'Comedy', 'Family', 'Fantasy']"
Batman Begins,2005-06-10,150000000,374218673,2.4947911533333333,2005,"['Action', 'Crime', 'Drama']"
Madagascar: Escape 2 Africa,2008-10-30,150000000,603900354,4.02600236,2008,"['Family', 'Animation']"
Night at the Museum: Battle of the Smithsonian,2009-05-20,150000000,413106170,2.7540411333333332,2009,"['Adventure', 'Fantasy', 'Action', 'Comedy', 'Family']"
X-Men Origins: Wolverine,2009-04-28,150000000,373062864,2.48708576,2009,"['Adventure', 'Action', 'Thriller', 'Science Fiction']"
The Matrix Revolutions,2003-11-05,150000000,424988211,2.83325474,2003,"['Adventure', 'Action', 'Thriller', 'Science Fiction']"
Frozen,2013-11-27,150000000,1274219009,8.494793393333333,2013,"['Animation', 'Adventure', 'Family']"
The Matrix Reloaded,2003-05-15,150000000,738599701,4.923998006666666,2003,"['Adventure', 'Action', 'Thriller', 'Science Fiction']"
Thor: The Dark World,2013-10-29,170000000,644571402,3.7915964823529413,2013,"['Action', 'Adventure', 'Fantasy']"
Mad Max: Fury Road,2015-05-13,150000000,378858340,2.5257222666666665,2015,"['Action', 'Adventure', 'Science Fiction', 'Thriller']"
Angels & Demons,2009-05-13,150000000,356613439,2.3774229266666667,2009,"['Thriller', 'Mystery']"
Thor,2011-04-21,150000000,449326618,2.995510786666667,2011,"['Adventure', 'Fantasy', 'Action']"
Bolt,2008-11-21,150000000,309979994,2.0665332933333334,2008,"['Animation', 'Family', 'Adventure', 'Comedy']"
G-Force,2009-07-21,150000000,292817841,1.95211894,2009,"['Fantasy', 'Action', 'Adventure', 'Family', 'Comedy']"
Wrath of the Titans,2012-03-27,150000000,301000000,2.006666666666667,2012,['Adventure']
Dark Shadows,2012-05-08,150000000,245527149,1.63684766,2012,"['Comedy', 'Fantasy']"
Mission: Impossible - Rogue Nation,2015-07-23,150000000,682330139,4.548867593333333,2015,"['Action', 'Adventure', 'Thriller']"
The Wolfman,2010-02-11,150000000,0,0.0,2010,"['Drama', 'Horror', 'Thriller']"
Bee Movie,2007-10-28,150000000,287594577,1.91729718,2007,"['Family', 'Animation', 'Adventure', 'Comedy']"
Kung Fu Panda 2,2011-05-25,150000000,665692281,4.43794854,2011,"['Animation', 'Family']"
The Last Airbender,2010-06-30,150000000,318502923,2.12335282,2010,"['Action', 'Adventure', 'Family', 'Fantasy']"
Mission: Impossible III,2006-05-03,150000000,397850012,2.6523334133333334,2006,"['Adventure', 'Action', 'Thriller']"
White House Down,2013-06-27,150000000,205366737,1.36911158,2013,"['Action', 'Drama', 'Thriller']"
Mars Needs Moms,2011-03-09,150000000,38992758,0.25995172,2011,"['Adventure', 'Animation', 'Family']"
Flushed Away,2006-10-22,149000000,64459316,0.4326128590604027,2006,"['Adventure', 'Animation', 'Comedy', 'Family']"
Pan,2015-09-24,150000000,128388320,0.8559221333333333,2015,"['Adventure', 'Family', 'Fantasy']"
Mr. Peabody & Sherman,2014-02-07,145000000,272912430,1.8821546896551724,2014,"['Animation', 'Adventure', 'Family']"
Troy,2004-05-13,175000000,497409852,2.8423420114285713,2004,"['Adventure', 'Drama', 'War']"
Madagascar 3: Europe's Most Wanted,2012-06-06,145000000,746921274,5.1511812,2012,"['Animation', 'Family']"
Die Another Day,2002-11-17,140000000,431971116,3.0855079714285716,2002,"['Adventure', 'Action', 'Thriller']"
Ghostbusters,2016-07-14,144000000,229147509,1.5913021458333334,2016,"['Action', 'Fantasy', 'Comedy']"
Armageddon,1998-07-01,140000000,553799566,3.9557111857142857,1998,"['Action', 'Thriller', 'Science Fiction', 'Adventure']"
Men in Black II,2002-07-03,140000000,441818803,3.1558485928571427,2002,"['Action', 'Adventure', 'Comedy', 'Science Fiction']"
Beowulf,2007-11-05,70000000,195735876,2.7962268,2007,"['Adventure', 'Action', 'Animation']"
Kung Fu Panda 3,2016-01-23,145000000,521170825,3.594281551724138,2016,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family']"
Mission: Impossible - Ghost Protocol,2011-12-07,145000000,694713380,4.79112675862069,2011,"['Action', 'Thriller', 'Adventure']"
Rise of the Guardians,2012-11-21,145000000,306941670,2.116839103448276,2012,"['Fantasy', 'Animation', 'Family']"
Fun with Dick and Jane,2005-12-21,100000000,202026112,2.02026112,2005,['Comedy']
The Last Samurai,2003-12-05,140000000,456758981,3.26256415,2003,"['Drama', 'Action', 'War', 'History']"
Exodus: Gods and Kings,2014-12-03,140000000,268031828,1.9145130571428572,2014,"['Adventure', 'Drama', 'Action']"
Star Trek,2009-05-06,150000000,385680446,2.5712029733333335,2009,"['Science Fiction', 'Action', 'Adventure']"
Spider-Man,2002-05-01,139000000,821708551,5.911572309352518,2002,"['Fantasy', 'Action']"
How to Train Your Dragon 2,2014-06-12,145000000,609123048,4.200848606896551,2014,"['Fantasy', 'Action', 'Adventure', 'Animation', 'Comedy', 'Family']"
Gods of Egypt,2016-02-25,140000000,150680864,1.0762918857142858,2016,['Fantasy']
Stealth,2005-07-28,135000000,76932943,0.5698736518518519,2005,['Action']
Watchmen,2009-03-05,130000000,185258983,1.4250691,2009,"['Action', 'Mystery', 'Science Fiction']"
Lethal Weapon 4,1998-07-10,140000000,285444603,2.0388900214285712,1998,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']"
Hulk,2003-06-19,137000000,245360480,1.790952408759124,2003,"['Drama', 'Action', 'Science Fiction']"
G.I. Joe: Retaliation,2013-03-26,130000000,371876278,2.860586753846154,2013,"['Adventure', 'Action', 'Science Fiction', 'Thriller']"
Sahara,2005-04-06,130000000,119269486,0.9174575846153846,2005,"['Action', 'Adventure', 'Comedy', 'Drama', 'Mystery']"
Final Fantasy: The Spirits Within,2001-07-02,137000000,85131830,0.6214002189781022,2001,"['Adventure', 'Action', 'Animation', 'Fantasy', 'Science Fiction', 'Thriller']"
Captain America: The First Avenger,2011-07-22,140000000,370569774,2.646926957142857,2011,"['Action', 'Adventure', 'Science Fiction']"
The World Is Not Enough,1999-11-08,135000000,361832400,2.68024,1999,"['Adventure', 'Action', 'Thriller']"
Master and Commander: The Far Side of the World,2003-11-14,150000000,212011111,1.4134074066666666,2003,['Adventure']
The Twilight Saga: Breaking Dawn - Part 2,2012-11-13,120000000,829000000,6.908333333333333,2012,"['Adventure', 'Fantasy', 'Drama', 'Romance']"
Happy Feet Two,2011-11-17,130000000,150406466,1.1569728153846155,2011,"['Animation', 'Comedy', 'Family']"
The Incredible Hulk,2008-06-12,150000000,163712074,1.0914138266666666,2008,"['Science Fiction', 'Action', 'Adventure']"
The BFG,2016-06-01,140000000,183345589,1.30961135,2016,"['Adventure', 'Family', 'Fantasy']"
The Revenant,2015-12-25,135000000,532950503,3.9477815037037036,2015,"['Western', 'Drama', 'Adventure', 'Thriller']"
Turbo,2013-07-11,135000000,282570682,2.093116162962963,2013,"['Animation', 'Family']"
Rango,2011-03-02,135000000,245724603,1.8201822444444444,2011,"['Animation', 'Comedy', 'Family', 'Western', 'Adventure']"
Penguins of Madagascar,2014-11-22,132000000,373552094,2.829940106060606,2014,"['Family', 'Animation', 'Adventure', 'Comedy']"
The Bourne Ultimatum,2007-08-03,70000000,442824138,6.326059114285714,2007,"['Action', 'Drama', 'Mystery', 'Thriller']"
Kung Fu Panda,2008-06-04,130000000,631744560,4.859573538461539,2008,"['Adventure', 'Animation', 'Family', 'Comedy']"
Ant-Man,2015-07-14,130000000,519311965,3.9947074230769233,2015,"['Science Fiction', 'Action', 'Adventure']"
The Hunger Games: Catching Fire,2013-11-15,130000000,847423452,6.518641938461538,2013,"['Adventure', 'Action', 'Science Fiction']"
Home,2015-03-18,135000000,368871007,2.7323778296296295,2015,"['Fantasy', 'Comedy', 'Animation', 'Science Fiction', 'Family']"
War of the Worlds,2005-06-28,132000000,591739379,4.482874083333333,2005,"['Adventure', 'Thriller', 'Science Fiction']"
Bad Boys II,2003-07-18,130000000,273339556,2.1026119692307694,2003,"['Adventure', 'Action', 'Comedy', 'Thriller', 'Crime']"
Puss in Boots,2011-10-28,130000000,554987477,4.269134438461538,2011,"['Action', 'Adventure', 'Animation', 'Family', 'Fantasy']"
Salt,2010-07-21,110000000,293329073,2.6666279363636365,2010,"['Action', 'Mystery', 'Thriller']"
Noah,2014-03-20,125000000,362637473,2.901099784,2014,"['Drama', 'Adventure']"
The Adventures of Tintin,2011-10-25,130000000,371940071,2.861077469230769,2011,"['Adventure', 'Animation', 'Mystery']"
Harry Potter and the Prisoner of Azkaban,2004-05-31,130000000,789804554,6.075419646153846,2004,"['Adventure', 'Fantasy', 'Family']"
Australia,2008-11-18,130000000,49554002,0.38118463076923076,2008,['Drama']
After Earth,2013-05-30,130000000,243843127,1.8757163615384616,2013,"['Science Fiction', 'Action', 'Adventure']"
Dinosaur,2000-05-19,127500000,354248063,2.7784161803921568,2000,"['Animation', 'Family']"
Night at the Museum: Secret of the Tomb,2014-12-17,127000000,349424282,2.7513722992125986,2014,"['Adventure', 'Comedy', 'Fantasy', 'Family']"
Megamind,2010-10-28,130000000,321887208,2.476055446153846,2010,"['Animation', 'Action', 'Comedy', 'Family', 'Science Fiction']"
Harry Potter and the Philosopher's Stone,2001-11-16,125000000,976475550,7.8118044,2001,"['Adventure', 'Fantasy', 'Family']"
R.I.P.D.,2013-07-18,130000000,61648500,0.4742192307692308,2013,"['Fantasy', 'Action', 'Comedy', 'Crime']"
Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09,140000000,655011224,4.6786516,2003,"['Adventure', 'Fantasy', 'Action']"
The Hunger Games: Mockingjay - Part 1,2014-11-18,125000000,752100229,6.016801832,2014,"['Science Fiction', 'Adventure', 'Thriller']"
The Da Vinci Code,2006-05-17,125000000,767820459,6.142563672,2006,"['Thriller', 'Mystery']"
Rio 2,2014-03-19,103000000,500188435,4.856198398058252,2014,"['Animation', 'Adventure', 'Comedy', 'Family']"
X2,2003-04-24,110000000,407711549,3.706468627272727,2003,"['Adventure', 'Action', 'Science Fiction', 'Thriller']"
Fast Five,2011-04-20,125000000,626137675,5.0091014,2011,"['Action', 'Thriller', 'Crime']"
Sherlock Holmes: A Game of Shadows,2011-11-22,125000000,334615000,2.67692,2011,"['Adventure', 'Action', 'Crime', 'Mystery']"
Clash of the Titans,2010-04-01,125000000,232713139,1.861705112,2010,"['Adventure', 'Fantasy', 'Action']"
Total Recall,1990-06-01,65000000,261317921,4.020275707692308,1990,"['Action', 'Adventure', 'Science Fiction']"
The 13th Warrior,1999-08-27,160000000,61698899,0.38561811875,1999,"['Adventure', 'Fantasy', 'Action']"
The Bourne Legacy,2012-08-08,130000000,276572938,2.1274841384615386,2012,"['Action', 'Thriller']"
Batman & Robin,1997-06-20,125000000,238207122,1.905656976,1997,"['Action', 'Crime', 'Fantasy']"
How the Grinch Stole Christmas,2000-11-17,123000000,345141403,2.8060276666666666,2000,"['Family', 'Comedy', 'Fantasy']"
The Day After Tomorrow,2004-05-26,125000000,544272402,4.354179216,2004,"['Action', 'Adventure', 'Science Fiction', 'Thriller']"
Mission: Impossible II,2000-05-24,125000000,546388105,4.37110484,2000,"['Adventure', 'Action', 'Thriller']"
The Perfect Storm,2000-03-15,120000000,325756637,2.714638641666667,2000,['Drama']
Fantastic 4: Rise of the Silver Surfer,2007-06-13,130000000,289047763,2.223444330769231,2007,"['Adventure', 'Fantasy', 'Action', 'Thriller']"
Life of Pi,2012-11-20,120000000,609016565,5.0751380416666665,2012,"['Adventure', 'Drama', 'Action']"
Ghost Rider,2007-02-16,110000000,228738393,2.079439936363636,2007,"['Thriller', 'Action', 'Fantasy', 'Horror']"
Jason Bourne,2016-07-27,120000000,415484914,3.4623742833333333,2016,"['Action', 'Thriller']"
Charlie's Angels: Full Throttle,2003-06-27,120000000,259175788,2.1597982333333334,2003,"['Action', 'Adventure', 'Comedy']"
Prometheus,2012-05-30,130000000,403170142,3.1013087846153846,2012,"['Science Fiction', 'Adventure', 'Mystery']"
Stuart Little 2,2002-07-19,120000000,169956806,1.4163067166666667,2002,"['Family', 'Adventure', 'Animation', 'Comedy']"
Elysium,2013-08-07,115000000,286140700,2.48818,2013,"['Science Fiction', 'Action', 'Drama', 'Thriller']"
The Chronicles of Riddick,2004-06-11,105000000,115772733,1.1025974571428572,2004,"['Action', 'Science Fiction']"
RoboCop,2014-01-30,120000000,242688965,2.0224080416666665,2014,"['Action', 'Science Fiction']"
Speed Racer,2008-05-09,120000000,93945766,0.7828813833333333,2008,"['Action', 'Family', 'Science Fiction']"
How Do You Know,2010-12-17,120000000,48668907,0.405574225,2010,"['Comedy', 'Drama', 'Romance']"
Knight and Day,2010-06-15,117000000,261930431,2.2387216324786325,2010,"['Action', 'Comedy']"
Oblivion,2013-04-10,120000000,286168572,2.3847381,2013,"['Action', 'Science Fiction', 'Adventure', 'Mystery']"
Star Wars: Episode III - Revenge of the Sith,2005-05-17,113000000,850000000,7.522123893805309,2005,"['Science Fiction', 'Adventure', 'Action']"
Star Wars: Episode II - Attack of the Clones,2002-05-15,120000000,649398328,5.411652733333334,2002,"['Adventure', 'Action', 'Science Fiction']"
"Monsters, Inc.",2001-11-01,115000000,562816256,4.8940544,2001,"['Animation', 'Comedy', 'Family']"
The Wolverine,2013-07-23,120000000,415440673,3.4620056083333335,2013,"['Action', 'Science Fiction', 'Adventure', 'Fantasy']"
Star Wars: Episode I - The Phantom Menace,1999-05-19,115000000,924317558,8.037543982608696,1999,"['Adventure', 'Action', 'Science Fiction']"
